ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-30,35566.61664307189,18610.583432531887,40308.37345331368,35566.61664307189,35566.61664307189,-5552.698127649932,-5552.698127649932,-5552.698127649932,1063.9449519336526,1063.9449519336526,1063.9449519336526,-6616.643079583585,-6616.643079583585,-6616.643079583585,0.0,0.0,0.0,30013.918515421956
2018-08-31,35569.600102703305,19302.822911923136,40352.23367568139,35569.600102703305,35569.600102703305,-5808.586696670372,-5808.586696670372,-5808.586696670372,397.26140113589304,397.26140113589304,397.26140113589304,-6205.848097806266,-6205.848097806266,-6205.848097806266,0.0,0.0,0.0,29761.013406032933
2018-09-01,35572.58356233474,14257.877009298862,34709.670684854136,35572.58356233474,35572.58356233474,-11429.303966621503,-11429.303966621503,-11429.303966621503,-5683.938144529874,-5683.938144529874,-5683.938144529874,-5745.365822091629,-5745.365822091629,-5745.365822091629,0.0,0.0,0.0,24143.279595713233
2018-09-02,35575.56702196616,16131.724071841114,36523.95725022131,35575.56702196616,35575.56702196616,-9809.937048780595,-9809.937048780595,-9809.937048780595,-4560.944661513683,-4560.944661513683,-4560.944661513683,-5248.9923872669115,-5248.9923872669115,-5248.9923872669115,0.0,0.0,0.0,25765.62997318557
2018-09-03,35578.55048159759,23232.291230171115,44478.47433916874,35578.55048159759,35578.55048159759,-1070.1195333376922,-1070.1195333376922,-1070.1195333376922,3660.736543833562,3660.736543833562,3660.736543833562,-4730.856077171255,-4730.856077171255,-4730.856077171255,0.0,0.0,0.0,34508.4309482599
2018-09-04,35581.53394122901,23748.044475982053,45297.99645034057,35581.53394122901,35581.70161941919,-1175.3395557210029,-1175.3395557210029,-1175.3395557210029,3029.69862183156,3029.69862183156,3029.69862183156,-4205.038177552562,-4205.038177552562,-4205.038177552562,0.0,0.0,0.0,34406.19438550801
2018-09-05,35584.51740086044,23451.605457783506,45614.219436082094,35583.52798423419,35585.836531973684,-1591.9582553088337,-1591.9582553088337,-1591.9582553088337,2093.241287300783,2093.241287300783,2093.241287300783,-3685.1995426096173,-3685.1995426096173,-3685.1995426096173,0.0,0.0,0.0,33992.559145551604
2018-09-06,35587.50086049187,22901.8460131315,43480.3350075292,35585.55854192437,35590.2381309435,-2120.277994414806,-2120.277994414806,-2120.277994414806,1063.9449519352725,1063.9449519352725,1063.9449519352725,-3184.2229463500794,-3184.2229463500794,-3184.2229463500794,0.0,0.0,0.0,33467.22286607706
2018-09-07,35590.48432012329,23191.67328616897,44535.61957386832,35586.625222210445,35595.1693932094,-2316.619481998061,-2316.619481998061,-2316.619481998061,397.2614011471063,397.2614011471063,397.2614011471063,-2713.8808831451665,-2713.8808831451665,-2713.8808831451665,0.0,0.0,0.0,33273.86483812523
2018-09-08,35593.46777975472,17500.83758924009,38759.616317688524,35587.64556709606,35599.84636174156,-7968.475954492278,-7968.475954492278,-7968.475954492278,-5683.938144530382,-5683.938144530382,-5683.938144530382,-2284.5378099618947,-2284.5378099618947,-2284.5378099618947,0.0,0.0,0.0,27624.99182526244
2018-09-09,35596.451239386144,18183.48519399378,39248.33606680329,35589.35900161939,35605.08044148512,-6465.839563629196,-6465.839563629196,-6465.839563629196,-4560.9446615104525,-4560.9446615104525,-4560.9446615104525,-1904.8949021187434,-1904.8949021187434,-1904.8949021187434,0.0,0.0,0.0,29130.611675756947
2018-09-10,35599.43469901757,26613.537107772838,48065.88488147908,35589.6017739782,35609.48148947826,2078.9522960476684,2078.9522960476684,2078.9522960476684,3660.7365438340594,3660.7365438340594,3660.7365438340594,-1581.7842477863912,-1581.7842477863912,-1581.7842477863912,0.0,0.0,0.0,37678.38699506524
2018-09-11,35602.418158648994,26794.16483736707,47705.45814662365,35590.67764548385,35615.71412715705,1709.6805577532618,1709.6805577532618,1709.6805577532618,3029.6986218309353,3029.6986218309353,3029.6986218309353,-1320.0180640776728,-1320.0180640776728,-1320.0180640776728,0.0,0.0,0.0,37312.09871640226
2018-09-12,35605.40161828042,25907.9379826084,47168.14974190544,35590.78680776741,35621.18178077072,970.9442734549814,970.9442734549814,970.9442734549814,2093.2412872996583,2093.2412872996583,2093.2412872996583,-1122.2970138446765,-1122.2970138446765,-1122.2970138446765,0.0,0.0,0.0,36576.3458917354
2018-09-13,35608.38507791185,25053.848078552426,45772.25600602777,35590.76587870484,35626.41751431727,74.76487412438873,74.76487412438873,74.76487412438873,1063.9449519309278,1063.9449519309278,1063.9449519309278,-989.1800778065392,-989.1800778065392,-989.1800778065392,0.0,0.0,0.0,35683.14995203624
2018-09-14,35611.368537543276,24243.66289148109,45016.64540667695,35590.22039712789,35632.10900312303,-521.855333344249,-521.855333344249,-521.855333344249,397.26140114199075,397.26140114199075,397.26140114199075,-919.1167344862397,-919.1167344862397,-919.1167344862397,0.0,0.0,0.0,35089.51320419903
2018-09-15,35614.3519971747,18703.69666398547,39894.57218748796,35591.093762000775,35638.58934578655,-6592.478611482497,-6592.478611482497,-6592.478611482497,-5683.938144524743,-5683.938144524743,-5683.938144524743,-908.5404669577537,-908.5404669577537,-908.5404669577537,0.0,0.0,0.0,29021.873385692204
2018-09-16,35617.335456806126,20268.610432142585,40317.80188098537,35590.866730793685,35644.16034343555,-5512.965559328845,-5512.965559328845,-5512.965559328845,-4560.94466150722,-4560.94466150722,-4560.94466150722,-952.0208978216258,-952.0208978216258,-952.0208978216258,0.0,0.0,0.0,30104.36989747728
2018-09-17,35620.31891643756,27303.10235597176,48743.63141569511,35590.95510555965,35649.16700357017,2618.2663442824864,2618.2663442824864,2618.2663442824864,3660.7365438434417,3660.7365438434417,3660.7365438434417,-1042.4701995609553,-1042.4701995609553,-1042.4701995609553,0.0,0.0,0.0,38238.58526072004
2018-09-18,35623.302376068976,27219.94369520917,48064.73177534926,35590.06739353896,35654.701044067835,1858.300739500164,1858.300739500164,1858.300739500164,3029.6986218357924,3029.6986218357924,3029.6986218357924,-1171.3978823356292,-1171.3978823356292,-1171.3978823356292,0.0,0.0,0.0,37481.60311556914
2018-09-19,35626.28583570041,26917.989424344272,47199.025991168644,35588.188085893,35662.10956628746,764.0346182647393,764.0346182647393,764.0346182647393,2093.2412873021003,2093.2412873021003,2093.2412873021003,-1329.2066690373613,-1329.2066690373613,-1329.2066690373613,0.0,0.0,0.0,36390.32045396515
2018-09-20,35629.26929533183,25123.12060272463,45276.754494670444,35586.00677418767,35670.04996143169,-441.576015369168,-441.576015369168,-441.576015369168,1063.9449519346435,1063.9449519346435,1063.9449519346435,-1505.5209673038119,-1505.5209673038119,-1505.5209673038119,0.0,0.0,0.0,35187.69327996267
2018-09-21,35632.25275496326,24004.183193694025,44732.17920087818,35585.517699265685,35677.60583037518,-1292.2770740677233,-1292.2770740677233,-1292.2770740677233,397.26140114288273,397.26140114288273,397.26140114288273,-1689.5384752106063,-1689.5384752106063,-1689.5384752106063,0.0,0.0,0.0,34339.975680895535
2018-09-22,35635.23621459468,17757.654470361857,38210.04392650268,35584.86379190345,35682.9418789237,-7554.332884598821,-7554.332884598821,-7554.332884598821,-5683.938144532695,-5683.938144532695,-5683.938144532695,-1870.3947400661255,-1870.3947400661255,-1870.3947400661255,0.0,0.0,0.0,28080.90332999586
2018-09-23,35638.21967422611,18791.13057800119,39741.32319506939,35583.38814499824,35688.45179470067,-6598.474711709738,-6598.474711709738,-6598.474711709738,-4560.944661503988,-4560.944661503988,-4560.944661503988,-2037.530050205749,-2037.530050205749,-2037.530050205749,0.0,0.0,0.0,29039.74496251637
2018-09-24,35641.20313385754,26714.384338463275,47575.715792733055,35582.94291660461,35694.85265814488,1479.6886513180004,1479.6886513180004,1479.6886513180004,3660.7365438331212,3660.7365438331212,3660.7365438331212,-2181.04789251512,-2181.04789251512,-2181.04789251512,0.0,0.0,0.0,37120.89178517554
2018-09-25,35644.18659348896,25975.10331040474,46377.62192913545,35582.86870414131,35701.04589461414,737.6442616024922,737.6442616024922,737.6442616024922,3029.6986218333996,3029.6986218333996,3029.6986218333996,-2292.0543602309067,-2292.0543602309067,-2292.0543602309067,0.0,0.0,0.0,36381.83085509145
2018-09-26,35647.17005312039,24698.061745665414,46705.0367087089,35582.314410416344,35706.754643412685,-269.72705766964367,-269.72705766964367,-269.72705766964367,2093.2412872997197,2093.2412872997197,2093.2412872997197,-2362.968344969363,-2362.968344969363,-2362.968344969363,0.0,0.0,0.0,35377.44299545074
2018-09-27,35650.153512751815,23217.595220986343,44679.78660580822,35580.45109382875,35713.14737871737,-1323.8481323302276,-1323.8481323302276,-1323.8481323302276,1063.9449519362636,1063.9449519362636,1063.9449519362636,-2387.7930842664914,-2387.7930842664914,-2387.7930842664914,0.0,0.0,0.0,34326.30538042159
2018-09-28,35653.13697238324,22879.01069251557,44239.649929359744,35577.56660623991,35719.77866482564,-1965.0792423712867,-1965.0792423712867,-1965.0792423712867,397.2614011317596,397.2614011317596,397.2614011317596,-2362.340643503046,-2362.340643503046,-2362.340643503046,0.0,0.0,0.0,33688.057730011955
